client,deliverables,deliverables_llm,doc_id,file,scope_of_work,scope_of_work_llm,tone
"Miller, Diaz and Davis",1,0,SOW-0870,sow_0870.txt,1,1,technical
Dean-Wilkinson,1,1,SOW-0871,sow_0871.txt,1,0,explanatory
"Chambers, Johnson and Monroe",1,1,SOW-0872,sow_0872.txt,,,conversational
White-Bradford,1,1,SOW-0873,sow_0873.txt,,,explanatory
"Shannon, Conrad and Walker",1,1,SOW-0874,sow_0874.txt,1,0,technical
Fuller-Gilbert,1,0,SOW-0875,sow_0875.txt,1,1,formal
Roberts-Le,1,1,SOW-0876,sow_0876.txt,1,0,technical
Taylor-Alexander,,,SOW-0877,sow_0877.txt,1,1,corporate
Johnson-Avery,1,1,SOW-0878,sow_0878.txt,1,0,explanatory
Potter PLC,,,SOW-0879,sow_0879.txt,1,1,formal
Cuevas-Travis,1,0,SOW-0880,sow_0880.txt,,,technical
Hall-Wolf,1,0,SOW-0881,sow_0881.txt,1,1,formal
Finley Inc,1,0,SOW-0882,sow_0882.txt,1,1,conversational
Brown-Brown,1,1,SOW-0883,sow_0883.txt,1,0,conversational
"Johnston, Hawkins and Conrad",,,SOW-0884,sow_0884.txt,1,0,neutral
Mejia-Allen,1,1,SOW-0885,sow_0885.txt,1,0,corporate
"Jones, Johnson and Miller",,,SOW-0886,sow_0886.txt,1,1,explanatory
Delacruz-Brown,1,1,SOW-0887,sow_0887.txt,1,0,explanatory
"Summers, Payne and Adams",1,0,SOW-0888,sow_0888.txt,1,0,formal
"Newton, Spencer and Serrano",,,SOW-0889,sow_0889.txt,1,1,contractual
Murphy and Sons,1,1,SOW-0890,sow_0890.txt,1,0,explanatory
Hall-Webb,1,0,SOW-0891,sow_0891.txt,1,1,explanatory
"Crane, Wallace and Baxter",,,SOW-0892,sow_0892.txt,1,0,formal
"Hinton, Johnson and Bell",1,0,SOW-0893,sow_0893.txt,1,1,formal
"Cantu, Adams and Pham",1,1,SOW-0894,sow_0894.txt,1,0,neutral
Miller Inc,1,0,SOW-0895,sow_0895.txt,1,1,legal
Davidson-Roberts,1,1,SOW-0896,sow_0896.txt,,,formal
Atkinson-Fox,1,1,SOW-0897,sow_0897.txt,1,0,neutral
Estrada-Lopez,,,SOW-0898,sow_0898.txt,1,0,technical
Gonzalez Group,1,1,SOW-0899,sow_0899.txt,1,0,conversational
White-Campbell,1,1,SOW-0900,sow_0900.txt,,,corporate
Dennis Ltd,1,1,SOW-0901,sow_0901.txt,,,neutral
Jones-Walker,1,0,SOW-0902,sow_0902.txt,1,0,formal
Mcdonald-Wright,1,1,SOW-0903,sow_0903.txt,1,0,corporate
"Wilson, Brown and Blanchard",1,1,SOW-0904,sow_0904.txt,,,legal
"Davis, Hampton and Brown",1,1,SOW-0905,sow_0905.txt,,,corporate
Caldwell-Erickson,1,0,SOW-0906,sow_0906.txt,1,1,legal
Walton LLC,1,0,SOW-0907,sow_0907.txt,1,1,legal
Scott Ltd,1,0,SOW-0908,sow_0908.txt,1,1,technical
"Williams, Murray and Lopez",1,0,SOW-0909,sow_0909.txt,1,1,explanatory
Phillips Ltd,1,0,SOW-0910,sow_0910.txt,1,1,explanatory
"Williams, Quinn and Murphy",1,1,SOW-0911,sow_0911.txt,,,conversational
Rose Inc,1,0,SOW-0912,sow_0912.txt,1,1,corporate
Turner Group,1,0,SOW-0913,sow_0913.txt,1,0,explanatory
Stevenson PLC,1,0,SOW-0914,sow_0914.txt,1,1,technical
Mccullough and Sons,1,1,SOW-0915,sow_0915.txt,1,0,legal
Young Inc,1,1,SOW-0916,sow_0916.txt,1,0,corporate
Barber Group,1,1,SOW-0917,sow_0917.txt,,,explanatory
"Anderson, Lawrence and Gray",1,1,SOW-0918,sow_0918.txt,1,0,neutral
Proctor PLC,1,0,SOW-0919,sow_0919.txt,1,1,contractual
Black-Smith,1,1,SOW-0920,sow_0920.txt,,,formal
Brady Inc,1,1,SOW-0921,sow_0921.txt,1,0,corporate
"Guerra, Monroe and Navarro",1,1,SOW-0922,sow_0922.txt,1,0,explanatory
Hill LLC,1,1,SOW-0923,sow_0923.txt,1,0,conversational
Watts-Rogers,1,1,SOW-0924,sow_0924.txt,,,explanatory
"Harmon, Gonzales and Gill",1,1,SOW-0925,sow_0925.txt,1,0,contractual
Cochran-Koch,1,0,SOW-0926,sow_0926.txt,1,1,conversational
Rivera Inc,,,SOW-0927,sow_0927.txt,1,1,neutral
Turner-Howe,1,1,SOW-0928,sow_0928.txt,1,0,neutral
Rodriguez and Sons,1,0,SOW-0929,sow_0929.txt,1,0,legal
Garcia and Sons,1,0,SOW-0930,sow_0930.txt,1,1,corporate
"Lucas, Romero and Miller",,,SOW-0931,sow_0931.txt,1,1,corporate
"Powell, Zimmerman and Barnes",1,1,SOW-0932,sow_0932.txt,1,0,technical
Ford-Simon,1,1,SOW-0933,sow_0933.txt,1,0,contractual
Duncan-Rivera,,,SOW-0934,sow_0934.txt,1,1,legal
Riddle LLC,1,1,SOW-0935,sow_0935.txt,,,contractual
Snyder and Sons,1,0,SOW-0936,sow_0936.txt,1,1,neutral
Robinson Ltd,1,1,SOW-0937,sow_0937.txt,,,contractual
Payne-Garcia,1,1,SOW-0938,sow_0938.txt,,,explanatory
"Jones, Mcguire and Merritt",1,0,SOW-0939,sow_0939.txt,1,0,contractual
Davis-Thomas,1,0,SOW-0940,sow_0940.txt,1,1,corporate
"Campbell, Torres and Macdonald",1,1,SOW-0941,sow_0941.txt,,,explanatory
Harris-Bray,1,1,SOW-0942,sow_0942.txt,,,contractual
Riddle LLC,1,1,SOW-0943,sow_0943.txt,,,neutral
Bennett-Humphrey,1,1,SOW-0944,sow_0944.txt,1,0,contractual
"Hernandez, Roberts and Smith",1,1,SOW-0945,sow_0945.txt,,,neutral
"Sanders, Walker and Todd",1,0,SOW-0946,sow_0946.txt,1,1,corporate
Perry LLC,1,0,SOW-0947,sow_0947.txt,1,1,formal
Singh Inc,1,1,SOW-0948,sow_0948.txt,,,corporate
Brooks Inc,1,0,SOW-0949,sow_0949.txt,1,1,legal
"Hughes, Clark and Villa",1,0,SOW-0950,sow_0950.txt,1,1,explanatory
"Diaz, Snyder and King",1,0,SOW-0951,sow_0951.txt,1,0,formal
Duke-Ross,1,0,SOW-0952,sow_0952.txt,1,1,formal
Sparks-Moreno,1,0,SOW-0953,sow_0953.txt,1,1,contractual
Schneider Ltd,,,SOW-0954,sow_0954.txt,1,0,neutral
Paul-Reynolds,1,0,SOW-0955,sow_0955.txt,,,legal
Davis-Chang,1,1,SOW-0956,sow_0956.txt,1,0,formal
Williams Group,1,0,SOW-0957,sow_0957.txt,1,0,corporate
"Lee, Lane and Hammond",1,1,SOW-0958,sow_0958.txt,1,0,formal
Johnson and Sons,1,1,SOW-0959,sow_0959.txt,1,0,legal
Cruz Group,1,1,SOW-0960,sow_0960.txt,,,technical
Moyer-Alvarez,,,SOW-0961,sow_0961.txt,1,1,contractual
Edwards Inc,1,1,SOW-0962,sow_0962.txt,,,corporate
"Mitchell, Molina and Robinson",1,1,SOW-0963,sow_0963.txt,1,0,corporate
Hood Ltd,1,1,SOW-0964,sow_0964.txt,1,0,neutral
"Hampton, Daniel and Cox",1,0,SOW-0965,sow_0965.txt,1,1,legal
Mccormick Inc,1,1,SOW-0966,sow_0966.txt,,,contractual
"Greer, Lowe and Brown",,,SOW-0967,sow_0967.txt,1,0,conversational
"Jones, Becker and Hall",1,0,SOW-0968,sow_0968.txt,1,1,conversational
Charles-Davis,,,SOW-0969,sow_0969.txt,1,1,corporate
Nicholson Inc,1,0,SOW-0970,sow_0970.txt,1,1,conversational
"Rodriguez, Briggs and Morris",1,0,SOW-0971,sow_0971.txt,1,1,contractual
"Campbell, Roberts and Sullivan",1,0,SOW-0972,sow_0972.txt,1,1,explanatory
Sanchez-Myers,1,0,SOW-0973,sow_0973.txt,,,contractual
"Guzman, Warner and Harris",,,SOW-0974,sow_0974.txt,1,1,neutral
King LLC,1,1,SOW-0975,sow_0975.txt,1,0,technical
Rowland-Norris,1,1,SOW-0976,sow_0976.txt,,,corporate
Walker-Jones,1,0,SOW-0977,sow_0977.txt,1,1,neutral
Garrison-Yang,1,0,SOW-0978,sow_0978.txt,1,0,neutral
Herrera Ltd,1,1,SOW-0979,sow_0979.txt,1,0,legal
Cole PLC,1,0,SOW-0980,sow_0980.txt,,,technical
Caldwell LLC,,,SOW-0981,sow_0981.txt,1,1,corporate
Thomas PLC,,,SOW-0982,sow_0982.txt,1,1,corporate
"Crawford, Lee and Jackson",1,0,SOW-0983,sow_0983.txt,1,1,explanatory
Bright and Sons,1,1,SOW-0984,sow_0984.txt,,,technical
Wilson LLC,,,SOW-0985,sow_0985.txt,1,1,explanatory
Barr Inc,1,1,SOW-0986,sow_0986.txt,,,conversational
Blackwell-Bryan,1,0,SOW-0987,sow_0987.txt,1,1,neutral
Clark Group,1,1,SOW-0988,sow_0988.txt,1,0,contractual
"Perez, Beltran and Ray",1,1,SOW-0989,sow_0989.txt,,,formal
Moore PLC,1,0,SOW-0990,sow_0990.txt,1,0,formal
Diaz-Murray,,,SOW-0991,sow_0991.txt,1,1,technical
Mack LLC,1,1,SOW-0992,sow_0992.txt,1,0,explanatory
Jones LLC,1,1,SOW-0993,sow_0993.txt,,,neutral
Harris LLC,1,1,SOW-0994,sow_0994.txt,1,0,conversational
"Byrd, Brooks and Vasquez",1,1,SOW-0995,sow_0995.txt,1,0,technical
Davidson LLC,1,0,SOW-0996,sow_0996.txt,1,1,legal
Gonzalez and Sons,1,0,SOW-0997,sow_0997.txt,1,1,legal
Wise PLC,1,1,SOW-0998,sow_0998.txt,1,0,technical
Johnson-Bray,1,1,SOW-0999,sow_0999.txt,1,0,legal
"Bernard, Park and Kelly",1,1,SOW-1000,sow_1000.txt,,,formal
Harris Group,1,1,SOW-1001,sow_1001.txt,1,0,corporate
"Moore, Payne and Spencer",1,1,SOW-1002,sow_1002.txt,,,corporate
Rodriguez-Pratt,1,0,SOW-1003,sow_1003.txt,1,1,explanatory
"Bowers, Pollard and Marsh",1,1,SOW-1004,sow_1004.txt,1,0,legal
"Steele, Sims and Ramirez",,,SOW-1005,sow_1005.txt,1,1,explanatory
Clay-Horne,1,1,SOW-1006,sow_1006.txt,,,conversational
Brown Group,1,1,SOW-1007,sow_1007.txt,1,0,formal
"Hull, Davidson and Parrish",1,1,SOW-1008,sow_1008.txt,1,0,corporate
Johnson-Sharp,,,SOW-1009,sow_1009.txt,1,1,contractual
"Martin, Cantu and Bennett",1,1,SOW-1010,sow_1010.txt,,,neutral
Harper-Jimenez,1,1,SOW-1011,sow_1011.txt,1,0,neutral
"Moore, Campbell and Wilson",1,1,SOW-1012,sow_1012.txt,,,formal
"Gonzales, Anderson and Walton",1,1,SOW-1013,sow_1013.txt,1,0,contractual
Young-Roy,,,SOW-1014,sow_1014.txt,1,1,neutral
"Barrett, Harding and Bradley",1,0,SOW-1015,sow_1015.txt,1,1,technical
Lindsey PLC,1,1,SOW-1016,sow_1016.txt,,,contractual
Mcgee Group,1,0,SOW-1017,sow_1017.txt,1,1,explanatory
Myers-Doyle,1,1,SOW-1018,sow_1018.txt,1,0,technical
Gonzalez and Sons,1,0,SOW-1019,sow_1019.txt,1,1,explanatory
Rangel Group,1,1,SOW-1020,sow_1020.txt,,,contractual
"Sanchez, Anderson and Fields",1,1,SOW-1021,sow_1021.txt,1,0,explanatory
Wheeler-Diaz,1,0,SOW-1022,sow_1022.txt,1,1,technical
Jones-Gibson,1,0,SOW-1023,sow_1023.txt,1,0,neutral
James-Weaver,,,SOW-1024,sow_1024.txt,1,1,corporate
Wilson PLC,1,1,SOW-1025,sow_1025.txt,1,0,corporate
Williams-Price,1,0,SOW-1026,sow_1026.txt,1,1,legal
Beck Ltd,1,0,SOW-1027,sow_1027.txt,1,1,explanatory
"Williams, Ortega and Ramirez",1,1,SOW-1028,sow_1028.txt,1,0,conversational
Williams PLC,1,1,SOW-1029,sow_1029.txt,,,conversational
Sutton Inc,,,SOW-1030,sow_1030.txt,1,1,legal
Valencia Group,1,0,SOW-1031,sow_1031.txt,1,1,conversational
"Butler, Jones and Cooper",1,0,SOW-1032,sow_1032.txt,1,1,neutral
Morrow Inc,1,0,SOW-1033,sow_1033.txt,1,0,technical
Roberts-Long,,,SOW-1034,sow_1034.txt,1,1,technical
Hernandez LLC,1,0,SOW-1035,sow_1035.txt,1,1,neutral
"Harris, Kent and Hernandez",,,SOW-1036,sow_1036.txt,1,1,technical
Lee-Snyder,1,0,SOW-1037,sow_1037.txt,1,1,neutral
Hayden-Martin,1,0,SOW-1038,sow_1038.txt,1,1,legal
"Harris, Anderson and Bright",1,1,SOW-1039,sow_1039.txt,,,contractual
Martin-Sutton,,,SOW-1040,sow_1040.txt,1,1,formal
Wallace-Garcia,1,0,SOW-1041,sow_1041.txt,1,1,conversational
Webb-Reilly,1,1,SOW-1042,sow_1042.txt,1,0,contractual
Welch Group,1,0,SOW-1043,sow_1043.txt,1,0,contractual
Rodriguez-Fischer,,,SOW-1044,sow_1044.txt,1,1,technical
Rocha-Chambers,,,SOW-1045,sow_1045.txt,1,1,neutral
Mcfarland Inc,1,1,SOW-1046,sow_1046.txt,1,0,technical
"Gonzalez, Jackson and Delgado",,,SOW-1047,sow_1047.txt,1,1,explanatory
Ford Group,,,SOW-1048,sow_1048.txt,1,1,formal
"Adams, Haynes and Murray",1,1,SOW-1049,sow_1049.txt,1,0,formal
"Irwin, Bennett and Sims",1,1,SOW-1050,sow_1050.txt,1,0,corporate
"Simmons, White and Ortiz",1,0,SOW-1051,sow_1051.txt,1,1,corporate
Massey-Hicks,,,SOW-1052,sow_1052.txt,1,1,explanatory
"Mcknight, Cross and Bowman",1,1,SOW-1053,sow_1053.txt,1,0,neutral
Smith-Shaffer,1,1,SOW-1054,sow_1054.txt,,,corporate
Martin-Olson,1,1,SOW-1055,sow_1055.txt,1,0,explanatory
Harris-Torres,1,1,SOW-1056,sow_1056.txt,,,corporate
"Lopez, Finley and Harvey",1,1,SOW-1057,sow_1057.txt,,,technical
Rice LLC,1,0,SOW-1058,sow_1058.txt,1,1,contractual
Aguilar Group,,,SOW-1059,sow_1059.txt,1,0,legal
"Hansen, Thomas and Rogers",1,0,SOW-1060,sow_1060.txt,1,1,conversational
Whitehead LLC,1,0,SOW-1061,sow_1061.txt,1,1,technical
"Johnson, Perez and Chaney",1,1,SOW-1062,sow_1062.txt,1,0,legal
"Nelson, Cox and Collins",1,1,SOW-1063,sow_1063.txt,1,0,conversational
Fitzgerald-Lane,,,SOW-1064,sow_1064.txt,1,1,legal
Kelly Ltd,1,1,SOW-1065,sow_1065.txt,1,0,formal
Herrera-Johnson,1,0,SOW-1066,sow_1066.txt,1,1,corporate
Weber-Smith,,,SOW-1067,sow_1067.txt,1,1,formal
"Gordon, Perez and Lee",1,1,SOW-1068,sow_1068.txt,,,formal
Ortega LLC,1,0,SOW-1069,sow_1069.txt,1,1,technical
Flowers-Hicks,1,1,SOW-1070,sow_1070.txt,,,legal
Martinez-Mills,,,SOW-1071,sow_1071.txt,1,1,formal
Powers PLC,1,0,SOW-1072,sow_1072.txt,1,0,neutral
Davis Group,,,SOW-1073,sow_1073.txt,1,0,explanatory
"Scott, Reeves and Ferguson",1,1,SOW-1074,sow_1074.txt,,,legal
"Gill, Davis and Moore",1,1,SOW-1075,sow_1075.txt,,,legal
Wright PLC,1,1,SOW-1076,sow_1076.txt,1,0,technical
Carter-Chaney,1,0,SOW-1077,sow_1077.txt,,,conversational
Cooper-Chan,1,1,SOW-1078,sow_1078.txt,,,explanatory
Weaver-Fowler,1,0,SOW-1079,sow_1079.txt,1,1,neutral
"Bryant, Schwartz and Patrick",1,0,SOW-1080,sow_1080.txt,1,1,technical
King-Munoz,1,0,SOW-1081,sow_1081.txt,1,1,formal
Wilson Group,,,SOW-1082,sow_1082.txt,1,1,corporate
Ray-Williams,1,1,SOW-1083,sow_1083.txt,1,0,neutral
"Perez, Simmons and Levy",1,0,SOW-1084,sow_1084.txt,1,1,explanatory
"Martinez, Jennings and King",1,0,SOW-1085,sow_1085.txt,,,corporate
Sheppard Group,1,0,SOW-1086,sow_1086.txt,1,1,conversational
Taylor-Ramos,1,1,SOW-1087,sow_1087.txt,,,corporate
"Rubio, Chavez and Mejia",,,SOW-1088,sow_1088.txt,1,0,explanatory
"Martin, Melton and Green",1,1,SOW-1089,sow_1089.txt,1,0,contractual
"Miles, Robinson and Martinez",1,0,SOW-1090,sow_1090.txt,1,1,explanatory
Sosa-Miller,,,SOW-1091,sow_1091.txt,1,1,legal
Nguyen-Banks,1,0,SOW-1092,sow_1092.txt,1,1,formal
"Carpenter, Cruz and Bowman",1,1,SOW-1093,sow_1093.txt,1,0,neutral
Neal Ltd,,,SOW-1094,sow_1094.txt,1,1,formal
"Davis, Esparza and King",1,0,SOW-1095,sow_1095.txt,1,1,neutral
Mitchell-Jacobs,,,SOW-1096,sow_1096.txt,1,1,neutral
Davis-Brown,1,0,SOW-1097,sow_1097.txt,1,1,technical
"Holder, Berry and Mcmahon",1,1,SOW-1098,sow_1098.txt,,,explanatory
Duncan-Stone,1,0,SOW-1099,sow_1099.txt,1,1,neutral
Hays-Fry,1,0,SOW-1100,sow_1100.txt,1,1,neutral
Smith-Brock,,,SOW-1101,sow_1101.txt,1,1,contractual
Richardson Ltd,1,1,SOW-1102,sow_1102.txt,1,0,explanatory
"Brown, Johnson and Black",1,1,SOW-1103,sow_1103.txt,,,contractual
Davidson and Sons,1,0,SOW-1104,sow_1104.txt,1,1,contractual
Lynch Group,1,1,SOW-1105,sow_1105.txt,,,technical
Morales-Harmon,1,1,SOW-1106,sow_1106.txt,,,explanatory
Santos Ltd,1,1,SOW-1107,sow_1107.txt,1,0,conversational
Berg LLC,1,0,SOW-1108,sow_1108.txt,1,1,contractual
"Smith, Frey and Banks",1,1,SOW-1109,sow_1109.txt,1,0,formal
"Scott, Petty and Moore",,,SOW-1110,sow_1110.txt,1,1,contractual
"Bowen, Gill and Jones",1,1,SOW-1111,sow_1111.txt,1,0,explanatory
"Hicks, Craig and Perry",,,SOW-1112,sow_1112.txt,1,1,technical
Melton Inc,,,SOW-1113,sow_1113.txt,1,1,legal
Alvarado-Ramirez,1,0,SOW-1114,sow_1114.txt,1,1,legal
Russell Group,1,0,SOW-1115,sow_1115.txt,1,1,conversational
"Gray, Gordon and Williams",,,SOW-1116,sow_1116.txt,1,0,explanatory
Burch-Underwood,,,SOW-1117,sow_1117.txt,1,1,neutral
"Moore, Church and Wright",1,0,SOW-1118,sow_1118.txt,1,1,explanatory
Wood Group,1,0,SOW-1119,sow_1119.txt,1,1,corporate
"Barr, Bowman and Lindsey",,,SOW-1120,sow_1120.txt,1,1,technical
Murphy-Garcia,1,0,SOW-1121,sow_1121.txt,1,0,technical
Sullivan PLC,,,SOW-1122,sow_1122.txt,1,0,corporate
Horne Ltd,1,1,SOW-1123,sow_1123.txt,1,0,conversational
Downs-Martin,1,1,SOW-1124,sow_1124.txt,,,neutral
Goodwin-Castillo,1,1,SOW-1125,sow_1125.txt,,,corporate
"Weaver, Perry and Gardner",1,1,SOW-1126,sow_1126.txt,,,conversational
Gardner-Cohen,1,1,SOW-1127,sow_1127.txt,1,0,neutral
Mcclure PLC,1,0,SOW-1128,sow_1128.txt,1,1,technical
Weaver PLC,1,0,SOW-1129,sow_1129.txt,1,1,technical
Wilkinson-Barajas,,,SOW-1130,sow_1130.txt,1,1,formal
Johnson-Snyder,1,0,SOW-1131,sow_1131.txt,1,1,contractual
"Rosales, Lee and Wright",1,1,SOW-1132,sow_1132.txt,,,technical
Taylor-Kim,1,1,SOW-1133,sow_1133.txt,,,explanatory
Frey Group,1,1,SOW-1134,sow_1134.txt,,,explanatory
"Woods, Franklin and Hughes",,,SOW-1135,sow_1135.txt,1,1,legal
Arnold-Kidd,,,SOW-1136,sow_1136.txt,1,1,formal
"Thompson, White and Barrett",1,1,SOW-1137,sow_1137.txt,1,0,legal
Jones LLC,1,0,SOW-1138,sow_1138.txt,1,1,conversational
Morris-Schultz,1,0,SOW-1139,sow_1139.txt,1,0,legal
"Moore, White and Brown",,,SOW-1140,sow_1140.txt,1,1,conversational
Petty-Martin,1,0,SOW-1141,sow_1141.txt,1,1,conversational
Rollins-Garcia,1,1,SOW-1142,sow_1142.txt,1,0,legal
Hawkins LLC,1,1,SOW-1143,sow_1143.txt,1,0,explanatory
"Hudson, Thomas and Jordan",1,1,SOW-1144,sow_1144.txt,,,explanatory
West-Wells,1,1,SOW-1145,sow_1145.txt,1,0,conversational
Smith PLC,1,0,SOW-1146,sow_1146.txt,1,1,neutral
Alvarado-Davis,1,0,SOW-1147,sow_1147.txt,,,contractual
Jenkins LLC,1,0,SOW-1148,sow_1148.txt,1,0,contractual
Newton-Brown,,,SOW-1149,sow_1149.txt,1,1,legal
Stephens-Klein,1,1,SOW-1150,sow_1150.txt,1,0,conversational
Barker Group,1,0,SOW-1151,sow_1151.txt,1,1,legal
Williams-Mullins,,,SOW-1152,sow_1152.txt,1,0,explanatory
Richardson and Sons,,,SOW-1153,sow_1153.txt,1,1,corporate
"Bowen, Parker and Morgan",1,0,SOW-1154,sow_1154.txt,1,1,neutral
"Hughes, Soto and Clark",1,1,SOW-1155,sow_1155.txt,,,conversational
"Mitchell, Rogers and Rogers",,,SOW-1156,sow_1156.txt,1,1,technical
Moreno Inc,1,0,SOW-1157,sow_1157.txt,1,1,explanatory
Mckee Group,1,1,SOW-1158,sow_1158.txt,1,0,corporate
Smith-Harris,1,0,SOW-1159,sow_1159.txt,1,1,contractual
Thomas LLC,,,SOW-1160,sow_1160.txt,1,0,technical
"Stone, Hill and Hall",1,1,SOW-1161,sow_1161.txt,,,formal
Perez-Foley,1,1,SOW-1162,sow_1162.txt,1,0,legal
Rasmussen-Lozano,1,1,SOW-1163,sow_1163.txt,,,neutral
Hunt and Sons,1,1,SOW-1164,sow_1164.txt,1,0,technical
Parker PLC,1,0,SOW-1165,sow_1165.txt,1,1,technical
Martin-Cole,1,0,SOW-1166,sow_1166.txt,1,0,technical
Murphy Ltd,,,SOW-1167,sow_1167.txt,1,1,legal
Eaton Ltd,1,0,SOW-1168,sow_1168.txt,1,0,legal
"Chen, Brown and Dudley",1,0,SOW-1169,sow_1169.txt,1,1,corporate
Williams Inc,,,SOW-1170,sow_1170.txt,1,1,contractual
Fox LLC,,,SOW-1171,sow_1171.txt,1,1,technical
Lee-Hayes,,,SOW-1172,sow_1172.txt,1,1,contractual
Wilson LLC,1,0,SOW-1173,sow_1173.txt,1,0,conversational
Kelly-Lozano,1,0,SOW-1174,sow_1174.txt,1,1,contractual
Gillespie-Morse,1,1,SOW-1175,sow_1175.txt,,,explanatory
Davis Ltd,1,0,SOW-1176,sow_1176.txt,1,1,neutral
"Cummings, Love and Osborne",1,1,SOW-1177,sow_1177.txt,1,0,contractual
"Rodriguez, Contreras and Swanson",,,SOW-1178,sow_1178.txt,1,1,neutral
Wilson-Wong,,,SOW-1179,sow_1179.txt,1,1,neutral
Brock Inc,1,1,SOW-1180,sow_1180.txt,,,corporate
Knight Inc,1,0,SOW-1181,sow_1181.txt,1,0,explanatory
"Rose, Fields and Guerrero",1,0,SOW-1182,sow_1182.txt,1,0,legal
Martin and Sons,,,SOW-1183,sow_1183.txt,1,1,formal
Lester-Tran,1,1,SOW-1184,sow_1184.txt,,,corporate
"Price, Gregory and Hernandez",1,1,SOW-1185,sow_1185.txt,1,0,neutral
Perez-Nguyen,1,1,SOW-1186,sow_1186.txt,,,contractual
"Rice, Watkins and Richardson",1,1,SOW-1187,sow_1187.txt,1,0,technical
"Guerrero, Cherry and Massey",,,SOW-1188,sow_1188.txt,1,1,technical
"Zavala, Sharp and Wagner",1,1,SOW-1189,sow_1189.txt,1,0,formal
"Shelton, Mathews and King",1,0,SOW-1190,sow_1190.txt,1,0,neutral
"Carlson, Torres and Washington",1,0,SOW-1191,sow_1191.txt,1,1,legal
Lawrence Group,1,1,SOW-1192,sow_1192.txt,,,explanatory
Williams Inc,1,1,SOW-1193,sow_1193.txt,1,0,corporate
Delgado and Sons,1,1,SOW-1194,sow_1194.txt,1,0,contractual
"Miller, Garcia and Wilson",1,0,SOW-1195,sow_1195.txt,1,1,explanatory
Gomez-Graham,,,SOW-1196,sow_1196.txt,1,1,formal
"Lawson, Bailey and Smith",1,1,SOW-1197,sow_1197.txt,,,neutral
Martinez Ltd,1,1,SOW-1198,sow_1198.txt,1,0,legal
Pugh PLC,1,1,SOW-1199,sow_1199.txt,1,0,formal
